AxisLabel,Flutter,React_Native
1,28.00,156.50
2,17.00,149.22
3,21.67,149.17
4,20.33,179.35
5,28.00,184.62
6,15.33,156.77
7,11.33,186.27
8,12.67,143.01
9,20.33,167.25
10,13.33,147.29
11,10.67,146.63
12,21.33,178.82
13,17.33,185.57
14,13.67,140.45
15,10.67,137.56
16,17.33,148.27
17,15.33,191.29
18,10.33,145.50
19,13.33,176.66
20,17.00,156.39
21,18.33,167.31
22,14.67,162.81
23,16.33,144.47
24,18.33,165.43
25,14.67,160.44
26,14.33,160.72
27,19.67,138.21
28,21.33,160.65
29,28.33,181.53
30,13.33,153.31
