AxisLabel,Flutter,React_Native
1,958.00,7862.67
2,607.33,7398.33
3,481.00,7404.00
4,526.67,7408.00
5,578.00,7440.33
6,640.33,7982.33
7,521.00,7458.00
8,585.33,7454.67
9,464.33,7487.67
10,540.00,7514.00
11,507.00,7546.33
12,395.00,7572.67
13,393.67,7604.00
14,374.33,7642.33
15,512.33,7682.33
16,471.33,7715.33
17,503.33,7754.67
18,511.33,7769.33
19,460.33,7811.67
20,531.00,7792.33
21,501.67,7793.00
22,469.33,7865.00
23,468.00,7983.00
24,461.33,8005.33
25,464.67,8041.67
26,452.67,8083.67
27,474.67,8116.33
28,483.33,8119.33
29,464.33,8183.00
30,378.33,8215.33
