AxisLabel,Flutter,React_Native
1,42.33,1542.33
2,39.33,1540.00
3,35.67,1528.33
4,41.00,1539.33
5,37.67,1547.67
6,38.00,1547.33
7,35.00,1539.33
8,35.33,1576.33
9,38.00,1544.33
10,39.00,1540.00
11,36.33,1553.67
12,36.33,1578.00
13,37.33,1582.67
14,37.00,1593.33
15,37.67,1544.33
16,36.33,1678.33
17,36.33,1534.67
18,38.00,1540.00
19,36.00,1571.33
20,37.67,1530.33
21,37.33,1543.33
22,35.33,1533.00
23,36.33,1557.67
24,40.33,1549.00
25,38.33,1556.33
26,36.00,1548.33
27,39.67,1534.33
28,37.33,1540.67
29,38.00,1537.67
30,39.33,1543.00
