AxisLabel,Flutter,React_Native
1,963.0,335.0
2,632.67,370.33
3,598.67,301.33
4,614.0,277.67
5,602.33,307.33
6,634.67,303.67
7,604.0,343.67
8,585.33,331.0
9,593.67,343.33
10,608.67,350.0
11,623.0,327.67
12,583.0,359.33
13,582.0,309.0
14,584.0,282.67
15,596.67,283.67
16,575.67,286.33
17,582.67,332.67
18,577.33,313.0
19,575.33,313.67
20,596.33,313.0
21,574.67,293.67
22,585.0,302.0
23,582.67,304.67
24,584.0,299.33
25,585.67,303.0
26,579.67,302.67
27,594.0,315.0
28,600.67,348.67
29,582.67,396.0
30,602.0,371.33
